Symbol,Price Change,Dividend Change,Volume Change,Price Volitility,Dividend Volitility,Volume Volitility,Stock Volitility Score,Sector_Basic Materials,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Undefined,Sector_Utilities
EQD,0.029142883845737988,0.0,-20000.0,3,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0
EVTC,-0.0015334798215070474,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0
FHS,0.018464284283774172,0.0,-20000.0,2,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0
FI,0.007887924899487905,0.0,-20000.0,3,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0
FINS,0.0154943016228941,0.0,-20000.0,2,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0
FLNG,-0.012902700598077663,0.0,-20000.0,2,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0
FNV,0.03206004959577466,0.0,-20000.0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0
FSR,0.041823638037894045,0.0,-20000.0,2,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0
FT,-0.002192098989858357,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
FVRR,0.032283779105755674,0.0,-20000.0,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0
GAPA,-0.0006843366120988141,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
GDO,0.005532291130081301,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
GGM,0.013004028920009765,0.0,-20000.0,3,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0
GIM,-3.559128034014846e-05,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
GKOS,-0.03620731574945551,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0
HEI,0.031980345426386905,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0
HFC,0.011186979812360878,0.0,-20000.0,4,1,1,6,0,0,0,0,1,0,0,0,0,0,0,0
HTGC,0.0060183551245028815,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
HUN,0.013521966608390402,0.0,-20000.0,4,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0
IR,-0.016898613512064557,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0
J,-0.013532194037248847,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0
KN,0.009793466381651654,0.0,-20000.0,4,1,1,6,0,0,0,0,0,0,0,0,0,1,0,0
LEA,0.02093156203896911,0.0,-20000.0,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0
LMND,-0.009261818431871165,0.0,-20000.0,4,1,1,6,0,0,0,0,0,1,0,0,0,0,0,0
LXU,0.004412229331927808,0.0,-20000.0,3,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0
MCI,0.0006709223282841063,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
MCK,-0.0034957405784965326,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0
MED,-0.07201449485197514,0.0,-20000.0,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0
MFG,-0.001854292785032413,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
MUFG,-0.001828091006235834,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
MXF,-0.00224638328378856,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
NOMD,-0.0020984739798983686,0.0,-20000.0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0
NRGX,0.0034516970686231945,0.0,-20000.0,3,1,1,5,0,0,0,0,0,0,0,0,0,0,1,0
NVST,0.0018085363869353734,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0
NXN,0.020770441441138234,0.0,-20000.0,3,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0
NXRT,-0.01723229794789076,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0
OCA,0.014291703701019287,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
OCFT,0.005490471946446014,0.0,-20000.0,4,1,1,6,0,0,0,0,0,0,0,0,0,1,0,0
OMF,0.011329269534923353,0.0,-20000.0,1,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0
OPP,0.0032842897576322114,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
PCI,0.0024219017862023686,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
PCM,-0.002194554385219719,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
PCPC,-0.006950684535650735,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
PFO,0.0021117871487511,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
PG,-0.04756486603174279,0.0,-20000.0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0
PICC,0.0162999868392943,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
PK,0.02211409264450481,0.0,-20000.0,4,1,1,6,0,0,0,0,0,0,0,0,1,0,0,0
PSFE,0.05750496983528149,0.0,-20000.0,4,1,1,6,0,0,0,0,0,0,0,0,0,1,0,0
PTR,0.04621798413911217,0.0,-20000.0,4,1,1,6,0,0,0,0,1,0,0,0,0,0,0,0
RBAC,0.024542727121492657,0.0,-20000.0,3,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0
RENN,-0.009690355076560202,0.0,-20000.0,2,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0
SBR,0.0019688682526334614,0.0,-20000.0,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0
SIX,0.017952827542586855,0.0,-20000.0,4,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0
SMM,0.01160646089495365,0.0,-20000.0,3,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0
STE,-0.024587543671491737,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0
TARO,0.02176259723187483,0.0,-20000.0,4,1,1,6,0,0,0,0,0,0,1,0,0,0,0,0
TPGS,-0.0015277067820230626,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
TPH,0.009976203333678175,0.0,-20000.0,4,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0
TTC,-0.01676811342419381,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0
U,0.28045724051339305,0.0,-20000.0,4,1,1,6,0,0,0,0,0,0,0,0,0,1,0,0
VHI,0.05462272825128319,0.0,-20000.0,4,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0
VNT,0.03661380236661903,0.0,-20000.0,4,1,1,6,0,0,0,0,0,0,0,0,0,1,0,0
WIA,6.80633113819332e-05,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
WRI,0.008775890182395874,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0
ZBH,0.025922092997542258,0.0,-20000.0,4,1,1,6,0,0,0,0,0,0,1,0,0,0,0,0
ZUO,0.019926506303562408,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0
