Ticker,Company,Industry,Price,Dividends,ROI,Risk
DESP,Despegar.com Corp. Ordinary Shares,Consumer Cyclical,$ 24.490,$ 0.0000,0%,Low Risk
DTF,DTF Tax-Free Income Inc. Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
FSR,Fisker Inc. Class A Common Stock,Consumer Cyclical,$ 24.490,$ 0.0000,0%,Low Risk
ANF,Abercrombie & Fitch Company Common Stock,Consumer Cyclical,$ 24.490,$ 0.0000,0%,Low Risk
GIM,Templeton Global Income Fund Inc. Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
TPGS,TPG Pace Solutions Corp. Class A Ordinary Shares,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
WIA,Western Asset Inflation-Linked Income Fund,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
HTGC,Hercules Capital Inc. Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
GDO,Western Asset Global Corporate Defined Opportunity Fund Inc. Western Asset Global Corporate Defined Opportunity Fund Inc.,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
AFB,AllianceBernstein National Municipal Income Fund Inc,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
EMD,Western Asset Emerging Markets Debt Fund Inc Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
U,Unity Software Inc. Common Stock,Technology,$ 24.490,$ 0.0000,0%,Low Risk
PFO,Flaherty & Crumrine Preferred and Income Opportunity Fund Incorporated,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
PTR,PetroChina Company Limited Common Stock,Energy,$ 24.490,$ 0.0000,0%,Low Risk
SIX,Six Flags Entertainment Corporation New Common Stock,Consumer Cyclical,$ 24.490,$ 0.0000,0%,Low Risk
BLUA,BlueRiver Acquisition Corp. Class A Ordinary Shares,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
AIRC,Apartment Income REIT Corp. Common Stock,Real Estate,$ 24.490,$ 0.0000,0%,Low Risk
MCI,Barings Corporate Investors Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
ECL,Ecolab Inc. Common Stock,Basic Materials,$ 24.490,$ 0.0000,0%,Low Risk
LMND,Lemonade Inc. Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
AGCO,AGCO Corporation Common Stock,Industrials,$ 24.490,$ 0.0000,0%,Low Risk
VHI,Valhi Inc. Common Stock,Basic Materials,$ 24.490,$ 0.0000,0%,Low Risk
OCA,Omnichannel Acquisition Corp. Class A Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
J,Jacobs Engineering Group Inc. Common Stock,Industrials,$ 24.490,$ 0.0000,0%,Low Risk
NXRT,NexPoint Residential Trust Inc. Common Stock,Real Estate,$ 24.490,$ 0.0000,0%,Low Risk
NVST,Envista Holdings Corporation Common Stock,Healthcare,$ 24.490,$ 0.0000,0%,Low Risk
IR,Ingersoll Rand Inc. Common Stock,Industrials,$ 24.490,$ 0.0000,0%,Low Risk
ARR,ARMOUR Residential REIT Inc.,Real Estate,$ 24.490,$ 0.0000,0%,Low Risk
GGM,Guggenheim Credit Allocation Fund Common Shares of Beneficial Interest,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
PK,Park Hotels & Resorts Inc. Common Stock ,Real Estate,$ 24.490,$ 0.0000,0%,Low Risk
LXU,LSB Industries Inc. Common Stock,Basic Materials,$ 24.490,$ 0.0000,0%,Low Risk
MCK,McKesson Corporation Common Stock,Healthcare,$ 24.490,$ 0.0000,0%,Low Risk
ZUO,Zuora Inc. Class A Common Stock,Technology,$ 24.490,$ 0.0000,0%,Low Risk
CMCM,Cheetah Mobile Inc. American Depositary Shares each representing 10 Class Ordinary Shares,Technology,$ 24.490,$ 0.0000,0%,Low Risk
OMF,OneMain Holdings Inc. Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
FVRR,Fiverr International Ltd. Ordinary Shares no par value,Communication Services,$ 24.490,$ 0.0000,0%,Low Risk
WRI,Weingarten Realty Investors Common Stock,Real Estate,$ 24.490,$ 0.0000,0%,Low Risk
DASH,DoorDash Inc. Class A Common Stock,Communication Services,$ 24.490,$ 0.0000,0%,Low Risk
GKOS,Glaukos Corporation Common Stock,Healthcare,$ 24.490,$ 0.0000,0%,Low Risk
FI,Frank's International N.V. Common Stock,Energy,$ 24.490,$ 0.0000,0%,Low Risk
AWF,Alliancebernstein Global High Income Fund,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
SMM,Salient Midstream Common Shares of Beneficial Interest,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
STE,STERIS plc (Ireland) Ordinary Shares,Healthcare,$ 24.490,$ 0.0000,0%,Low Risk
NXN,Nuveen New York Select Tax-Free Income Portfolio Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
MUFG,Mitsubishi UFJ Financial Group Inc. Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
CLII,Climate Change Crisis Real Impact I Acquisition Corporation Class A Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
TARO,Taro Pharmaceutical Industries Ltd. Ordinary Shares,Healthcare,$ 24.490,$ 0.0000,0%,Low Risk
LEA,Lear Corporation Common Stock,Consumer Cyclical,$ 24.490,$ 0.0000,0%,Low Risk
FINS,Angel Oak Financial Strategies Income Term Trust Common Shares of Beneficial Interest,Undefined,$ 24.490,$ 0.0000,0%,Low Risk
BGSF,BGSF Inc. Common Stock,Industrials,$ 24.490,$ 0.0000,0%,Low Risk
PCPC,Periphas Capital Partnering Corporation Class A Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
